1;Fuerte Forest;H43A46MM
2;Buitrera Vertical;S33I42KL
3;Pradera Trail;X38W14XZ
4;Pantera del Bosque;L40I45CP
5;Vida Corrida;M20Q30RI
6;Pegasus Team;O35W22IN
7;Team Mao;G46X16KV
8;Maja de Hierro;F30I31KV
9;Coyotes Trail;Q45F3BB
10;The Wolf;J29M11XZ
11;The Fastest Runner;D22O20GR
12;The Warriors;O20X28CV
13;Bikila;K31R21AG
14;Coomeva;Z21F23IL
15;United Runners Team;L33P47KG
16;Mi Gente Runner;R16Y41XJ
17;Sanchocho Runner;W9E20VD
18;Pachamama Trail;T12G43VM
19;Crazy Runners;B15D24VG
20;Valedalen Club;T18X45TF
21;Ultra Trail Delta;L47O45EN
22;Colibrí Trail Running;E18N17KK
23;Mercenario Trail Running;B2C34SY
24;The Mountain Runners;W32I49RY
25;Cali Ultra Trail;Z3F43ZP
26;Sin Equipo;             
27;Jose Sanchez Team;J053S4CJ
28;Senderos;S3ND3R05
29;Forest Runners;F0735JKS
30;Hard Runners;H4R9R8JN
31;Aguiluchos;A42DCH05
32;Warrior Team;W4RR105D
33;Zarihuellas;Z4R1HU3L
34;Ultra trail delta;U1T749KJ
35;La roka;L4R0544J
36;Trail runnig ciudad blanca;T7417JSJ
37;Trail runnig costa rica;TRC0574R
38;Road Runners Andalucia;R047R4ND
39;G'LATINOS ANDALUCIA;G3L4T7I0
40;CORREDORES DE TENERIFE;C077T3N3
41;BENGALA RUNNERS;B3N641AR
42;Trail Runnig Manizales;TR41LR49
43;Trotadores Tuluá;T7074TUL
44;Betomania de Andalucía;B3704N1A
45;wings runners de zarzal;W1N5RRU3
46;360fit;TR35F170
47;Titan runners;T1T4N7UN
48;PURO CORAZÓN;P4R0COZN
49;Grupo FitTime;G45F71MA
50;TEAM MAYAGÜEZ;T34M4Y9S
51;Fitcamp;F1T54M81
